seq_13	ColE1	99.830	589	0.0	1058	2034	2622	6618	1	589	589
seq_13	ColE1	99.491	589	0.0	1049	1036	1624	6618	589	1	589
seq_13	ColE1	99.604	505	0.0	902	3031	3535	6618	85	589	589
seq_13	Col(pHAD28)_1__KU674895	89.313	131	8.11e-44	174	1250	1380	6618	1	131	131
seq_13	Col(pHAD28)_1__KU674895	89.313	131	8.11e-44	174	3191	3321	6618	131	1	131
seq_13	Col(pHAD28)_1__KU674895	89.313	131	8.11e-44	174	2278	2408	6618	131	1	131
seq_13	ColRNAI_1__DQ298019	87.023	131	2.18e-38	157	1250	1380	6618	1	130	130
seq_13	ColRNAI_1__DQ298019	87.023	131	2.18e-38	157	3191	3321	6618	130	1	130
seq_13	ColRNAI_1__DQ298019	87.023	131	2.18e-38	157	2278	2408	6618	130	1	130
seq_13	Col440I_1__CP023920	89.091	110	3.94e-35	145	1290	1399	6618	2	111	114
seq_13	Col440I_1__CP023920	89.091	110	3.94e-35	145	3172	3281	6618	111	2	114
seq_13	Col440I_1__CP023920	89.091	110	3.94e-35	145	2259	2368	6618	111	2	114
