seq_79	ColE1	99.830	589	0.0	1058	11216	11804	13335	589	1	589
seq_79	ColE1	99.830	589	0.0	1058	8416	9004	13335	589	1	589
seq_79	ColE1	99.830	589	0.0	1058	4088	4676	13335	589	1	589
seq_79	ColE1	99.830	589	0.0	1058	1229	1817	13335	589	1	589
seq_79	Col(pHAD28)_1__KU674895	89.313	131	1.64e-43	174	1443	1573	13335	1	131	131
seq_79	Col(pHAD28)_1__KU674895	89.313	131	1.64e-43	174	4302	4432	13335	1	131	131
seq_79	Col(pHAD28)_1__KU674895	89.313	131	1.64e-43	174	8630	8760	13335	1	131	131
seq_79	Col(pHAD28)_1__KU674895	89.313	131	1.64e-43	174	11430	11560	13335	1	131	131
seq_79	ColRNAI_1__DQ298019	87.023	131	4.39e-38	157	1443	1573	13335	1	130	130
seq_79	ColRNAI_1__DQ298019	87.023	131	4.39e-38	157	4302	4432	13335	1	130	130
seq_79	ColRNAI_1__DQ298019	87.023	131	4.39e-38	157	8630	8760	13335	1	130	130
seq_79	ColRNAI_1__DQ298019	87.023	131	4.39e-38	157	11430	11560	13335	1	130	130
seq_79	Col440I_1__CP023920	89.091	110	7.93e-35	145	1483	1592	13335	2	111	114
seq_79	Col440I_1__CP023920	89.091	110	7.93e-35	145	4342	4451	13335	2	111	114
seq_79	Col440I_1__CP023920	89.091	110	7.93e-35	145	8670	8779	13335	2	111	114
seq_79	Col440I_1__CP023920	89.091	110	7.93e-35	145	11470	11579	13335	2	111	114
